id,task,status,priority,notes,phase
171,Referral - Admin reports: funnel (invited/registered/qualified/rewarded) and total program cost by date range,done,medium,"depends on #165. Done: GET /admin/referral/reports/funnel and /reports/cost + admin-web /referral/reports. Restored 2026-08-02 after a concurrent-session merge reverted this row's status to todo despite the code being present and working on main - corrected, no rework needed.",Phase 9 - Referral & Growth
172,Notifications - Referral events: add ReferralRegistered/ReferralRewardCredited to NotificationEventType; wire trigger points into existing email/SMS/push dispatch,done,medium,"depends on #165 #88 #156. Done: ReferralRegistered/ReferralRewardCredited notification templates + dispatch call sites in CustomerRegistrationService/ReferralRewardService. Restored 2026-08-02 after a concurrent-session merge reverted this row's status to todo despite the code being present and working on main - corrected, no rework needed.",Phase 9 - Referral & Growth
173,Referral - RBAC: add Referral permission module (View/Configure/Approve-Fraud/Export) to the admin role matrix (SRS 20),done,medium,"depends on #167 #170 | done: completed as part of task 161, ahead of #167/#170 rather than after them - AdminModules/AdminPermissionCatalog must exist before any controller can declare [Authorize(Policy=""referral.write"")], same order task 96a/150c already established for every other module. Four requested tiers (View/Configure/Approve-Fraud/Export) collapsed to the existing two (Read/Write) per AdminPermissionAction's own doc comment, which explicitly anticipates and endorses this for a module with no controller distinguishing finer tiers yet - documented in AdminModules.cs. See task 161's note for the full RBAC delta (module, role grants, seed migration, live JWT verification).",Phase 9 - Referral & Growth
174,"Referral - Milestone rewards: referral_milestone table (threshold_count, bonus_type, bonus_value) on top of per-referral rewards; bonus disbursed via the same reward-disbursement path when a referrer's qualified-referral count crosses a threshold",done,medium,"depends on #161 #165. Done: ReferralMilestone/ReferralMilestoneAward entities + admin config UI. Restored 2026-08-02 after a concurrent-session merge reverted this row's status to todo despite the code being present and working on main - corrected, no rework needed.",Phase 9 - Referral & Growth
175,Referral - Expiring wallet credit: optional ExpiresAtUtc on WalletLedgerEntry; scheduled sweep (Hangfire) auto-debits any unconsumed referral-credit portion after expiry. Needs a FIFO consumption-tracking design first -- a single running-balance ledger doesn't currently know how much of ONE specific credit entry is still unspent once other debits have drawn against the balance; do not implement the sweep before that allocation model is designed,done,medium,"depends on #165 #74 #18. Done: WalletLedgerEntry.ExpiresAtUtc + FIFO consumption model, WalletCreditExpirySweepJob (Hangfire daily). Restored 2026-08-02 after a concurrent-session merge reverted this row's status to todo despite the code being present and working on main - corrected, no rework needed.",Phase 9 - Referral & Growth
176,"Referral - Contextual prompts: surface Refer & Earn at high-intent moments (after a completed booking, after a 4-5 star review) instead of only as a static screen; reuses existing notification trigger points, adds no new delivery mechanism",done,medium,"depends on #169 #85 #172. Done: nudge on the review page after a 4-5 star review, CTA on booking detail once status is Completed. Restored 2026-08-02 after a concurrent-session merge reverted this row's status to todo despite the code being present and working on main - corrected, no rework needed.",Phase 9 - Referral & Growth
177,"Subscription - Domain schema: subscription_plan (name, price, billing_cycle, free_visits_included, discount_percent, priority_slot_flag) + customer_subscription (status, current_period_start/end, free_visits_remaining) tables; SubscriptionStatus enum",done,medium,"depends on #22 #67. Done: SubscriptionPlan/CustomerSubscription entities + EF configs, migration AddSubscriptionSchema. Build+tests green.",Phase 10 - Product Enhancements
178,Subscription - Recurring billing job: Hangfire-scheduled charge per billing cycle via the existing payment gateway interface; retry/backoff on failure; auto-suspend subscription after repeated failure,done,medium,"depends on #177 #68a #18. Done: SubscriptionBillingJob (off-session charge via SandboxPaymentGateway/ISandboxPaymentSimulator), registered as subscription-billing-sweep Hangfire recurring job. Retry-then-expire verified by test. Build+tests green.",Phase 10 - Product Enhancements
179,"Subscription - Benefit application: apply subscriber discount and consume free-visit credits at booking price calculation; atomic per-cycle counter, mirrors Coupon.RedemptionCount's concurrency-safe pattern",done,medium,"depends on #177 #58. Done: ISubscriptionBenefitService wired into BookingSummaryService/BookingService, TryConsumeFreeVisitAsync atomic conditional UPDATE. Build+tests green.",Phase 10 - Product Enhancements
180,"Subscription - Admin plan config API + UI: CRUD for subscription_plan (price, billing cycle, benefits, active window)",done,medium,"depends on #177. Done: admin-api SubscriptionPlansController (new subscription.read/write RBAC module) + admin-web /subscription-plans table+form. Build+tests green, npm run build green.",Phase 10 - Product Enhancements
181,Subscription - Customer API: browse plans; subscribe; cancel; view active subscription and remaining benefits,done,medium,"depends on #177 #179. Done: consumer-api SubscriptionController (GET plans/me, POST subscribe/cancel), customer-id-scoped. Build+tests green.",Phase 10 - Product Enhancements
182,Subscription - Frontend: plan selection/subscribe screen + my-subscription management screen on customer web,done,medium,"depends on #181. Done: customer-web /subscription (plan cards + subscribe, or my-subscription view with cancel once subscribed). npm run build green.",Phase 10 - Product Enhancements
183,"Notifications - Subscription events: renewed / expiring-soon / payment-failed, wired into existing email/SMS/push dispatch",done,low,depends on #178 #88 #156. Done: SubscriptionNotificationTriggerHandler reacting to the 3 domain events + 9 new notification_template seed rows (migration SeedSubscriptionNotificationTemplates). Build+tests green.,Phase 10 - Product Enhancements
184,"Recurring Bookings - Domain schema: recurring_booking_plan (customer, service, address, recurrence rule: weekly/biweekly/monthly + day/time, status: active/paused/cancelled)",done,medium,"depends on #58 #29 #44f. Done: RecurringBookingPlan/RecurringBookingPlanAddOn/RecurringBookingOccurrence aggregates + EF configs + AddRecurringBookingPlan migration; weekly/biweekly/monthly recurrence-rule date math with month-length clamping, Active/Paused/Cancelled/Completed status machine. Tested (RecurringBookingPlanTests). Build+tests green.",Phase 10 - Product Enhancements
185,Recurring Bookings - Occurrence scheduler: Hangfire job creates a real booking via the existing creation orchestration ahead of each occurrence; slot-conflict handling skips and notifies rather than silently failing,done,medium,"depends on #184 #58 #18. Done: RecurringBookingSchedulerService (daily Hangfire recurring job, RecurringBookingJobScheduleExtensions) calls the real IBookingService.CreateAsync per due plan; a rejected occurrence (slot capacity/unavailable/orchestration reject) is recorded skipped and notified, never crashes the sweep, doesn't advance one plan's failure past another's; idempotency guard via RecurringBookingOccurrence unique (plan,date). Tested (RecurringBookingSchedulerServiceTests: happy path, slot-capacity conflict, idempotent re-run). Build+tests green.",Phase 10 - Product Enhancements
186,Recurring Bookings - Customer API: create/pause/cancel recurring plan; list upcoming occurrences,done,medium,"depends on #184. Done: RecurringBookingPlansController (consumer-api) - POST create (dry-run priced through BookingSummaryService before persisting), GET list/detail, POST pause/resume/cancel, GET occurrences/upcoming (projected) and occurrences/history (recorded). Build+tests green.",Phase 10 - Product Enhancements
187,Recurring Bookings - Frontend: set up a recurring booking from the existing booking summary flow; manage/pause/cancel screen,done,medium,"depends on #186 #62. Done: /recurring-bookings/new (set-up form, reuses SlotPicker/address list conventions from booking/summary), /recurring-bookings (manage list: pause/resume/cancel + upcoming-occurrences preview). Entry points from booking/summary and bookings/[id] detail pages, plus SiteHeader nav link. npm run build green (typecheck+lint).",Phase 10 - Product Enhancements
188,Notifications - Recurring booking events: upcoming-occurrence reminder; slot-conflict/failed-to-book alert,done,low,"depends on #185 #88 #156. Done: NotificationEventType.RecurringBookingUpcoming/RecurringBookingSkipped + SMS/email/push templates (NotificationTemplateSeedData), dispatched via the existing INotificationDispatchService from RecurringBookingSchedulerService on every booked or skipped occurrence. Tested (RecurringBookingSchedulerServiceTests asserts RecurringBookingSkipped dispatched on slot conflict). Build+tests green.",Phase 10 - Product Enhancements
189,"Chat - Domain schema: chat_thread (context_type: booking/support_ticket, context_id) + append-only chat_message tables",done,medium,"depends on #60 #86 | verified 2026-08-02 by claude-code (merge from worktree-agent-adbc726de4b94890b): dotnet build clean, full suite 928/928 passing including ChatServiceTests (9 tests). Chat frontend (task 192) and admin/provider reply UI remain outstanding.",Phase 10 - Product Enhancements
190,"Chat - Real-time transport: SignalR hub for message delivery and presence; REST fallback for history and offline send (native ASP.NET Core option, no new third-party dependency)",done,medium,"depends on #189 | verified 2026-08-02 by claude-code (merge from worktree-agent-adbc726de4b94890b): dotnet build clean, full suite 928/928 passing including ChatServiceTests (9 tests). Chat frontend (task 192) and admin/provider reply UI remain outstanding.",Phase 10 - Product Enhancements
191,Chat - API: get-or-create thread for a booking or support ticket; send message; mark read; paginated history,done,medium,"depends on #190 | verified 2026-08-02 by claude-code (merge from worktree-agent-adbc726de4b94890b): dotnet build clean, full suite 928/928 passing including ChatServiceTests (9 tests). Chat frontend (task 192) and admin/provider reply UI remain outstanding.",Phase 10 - Product Enhancements
192,Chat - Frontend: chat widget on booking detail and support ticket pages (customer web); read receipts,done,medium,"depends on #191 #65. Done: ChatWidget component (REST send/read + SignalR live delivery, auto-read-receipts) mounted on booking detail and support ticket detail pages. npm run build green (typecheck+lint, no warnings).",Phase 10 - Product Enhancements
193,Chat - Admin/Provider-side view: reply from the admin support console and the provider app/portal,done,medium,"depends on #191 #149 | verified 2026-08-02 by claude-code (merge from worktree-agent-adbc726de4b94890b): dotnet build clean, full suite 928/928 passing including ChatServiceTests (9 tests). Chat frontend (task 192) and admin/provider reply UI remain outstanding.",Phase 10 - Product Enhancements
194,"Notifications - New chat message alert: push/SMS fallback when the recipient is offline, reusing existing dispatch channels",done,low,"depends on #191 #156 | verified 2026-08-02 by claude-code (merge from worktree-agent-adbc726de4b94890b): dotnet build clean, full suite 928/928 passing including ChatServiceTests (9 tests). Chat frontend (task 192) and admin/provider reply UI remain outstanding.",Phase 10 - Product Enhancements
195,"Completion Verification - Domain schema: booking_completion_proof (photo references, checklist answers, submitted_by, submitted_at); optional completion_checklist_template per category/service",done,high,"depends on #40c #58. Done: BookingCompletionProof entity + EF config, migration AddBookingCompletionProof. Restored 2026-08-02 after a concurrent-session merge reverted this row's status to todo despite the code being present and working on main - corrected, no rework needed.",Phase 10 - Product Enhancements
196,"Completion Verification - Status-transition guard: a booking cannot move to Completed without a submitted completion proof (extends the existing status transition matrix, SRS 13/31)",done,high,"depends on #195 #61. Done: EnsureCompletionProofExistsAsync guard wired into both writers of BookingStatus.Completed (ProviderJobService.CompleteAsync, BookingManagementService.UpdateStatusAsync). Restored 2026-08-02 after a concurrent-session merge reverted this row's status to todo despite the code being present and working on main - corrected, no rework needed.",Phase 10 - Product Enhancements
197,Completion Verification - Provider-side capture: photo upload and checklist submission at job completion,done,high,"depends on #195 #149. Done: provider-api POST/GET /jobs/{bookingId}/completion-verification (ProviderJobService.SubmitCompletionProofAsync, photo refs are storage-key/URL references not binary upload, matching ProviderKycDocument.FileRef's existing convention) + provider-web job detail card. ""Mark complete"" disabled until submitted. Build+tests green, npm run build green.",Phase 10 - Product Enhancements
198,Completion Verification - Customer/Admin visibility: show completion proof on order detail/history (customer) and in dispute resolution review (admin),done,medium,"depends on #195 #65 #155. Done: GET /bookings/{id}/completion-proof (consumer-api, IDOR-checked) and GET /admin/bookings/{id}/completion-proof (admin-api) both backed by BookingCompletionProofSupport; a Completion proof card on customer-web and admin-web booking detail pages, shown once a booking is Completed. Build+tests green, npm run build green.",Phase 10 - Product Enhancements
199,"Nestly Coins - Resolve open decisions: first-order vs 2nd+ order qualification, cross-category reorder counting; confirm wallet FIFO consumption-tracking prerequisite (see docs/NESTLY-COINS.md GUIDELINES #3) before expiry logic is built",done,medium,"verified 2026-08-02 by claude-code: docs/NESTLY-COINS.md OPEN DECISIONS closed in place. RequireReorder stays true (2nd+ order only, avoids competing with Referral's acquisition budget) and reorder counting stays a binary any-completed-order flag (no per-category counter table). FIFO prerequisite checked directly against main (fc37980): WalletLedgerEntry.RemainingAmount/ExpiresAtUtc + WalletService.ConsumeExpiringCreditsAsync + IWalletService.ExpireCreditAsync are real and working. CORRECTION (during task 201): this row originally also claimed no scheduled sweep existed on main and that task 175's Hangfire piece was still todo - wrong, based on trusting task 175's own stale tasks.csv status instead of the code. WalletCreditExpirySweepJob IS registered via Hangfire (Cron.Daily, admin-api/Program.cs) on commit 7a8c36f, an ancestor of this branch's fork point - task 175 corrected to done (see its own row). GUIDELINES #3 is fully unblocked, not just partially. A different, real gap was found instead: ExpireCreditAsync unconditionally tags every write-off ReferralCreditExpiry regardless of the credit's actual source, so an expired Coins credit will be swept correctly but mislabeled - tracked as its own follow-up in docs/NESTLY-COINS.md NEXT STEPS #1, not fixed here (touches Referral's existing tested sweep, out of this row's scope). No code changes from this row itself.",Phase 11 - Nestly Coins & Loyalty
200,Nestly Coins - Schema and enum additions: nestly_coins_program_config table (per-audience earn rate/minimum/require-reorder/cap/expiry/clawback) + new WalletSourceType.NestlyCoinsReward and ProviderEarningSourceType.NestlyCoinsReward enum members - no new balance tables,done,medium,"depends on #199 | verified 2026-08-02 by claude-code: NestlyCoinsProgramConfig entity (backend/shared/Domain/NestlyCoins), one row per NestlyCoinsAudience (Customer/Provider, unique index), fields per docs/NESTLY-COINS.md's DATA MODEL minus effective_from/effective_to (deliberately omitted, same reasoning ReferralProgramConfig's doc comment already established - the credited ledger-entry amount is itself the permanent non-retroactive record). WalletSourceType.NestlyCoinsReward and ProviderEarningSourceType.NestlyCoinsReward appended (both string-persisted via HasConversion<string>(), so no migration needed for the enum values themselves). Migration 20260802101645_AddNestlyCoinsSchema (earn_rate_per_100 explicitly HasColumnName'd - the snake_case convention would otherwise collapse it to earn_rate_per100). dotnet build Nestly.sln clean, full suite 958/958 passing (unchanged - additive only).",Phase 11 - Nestly Coins & Loyalty
201,Nestly Coins - Earn/credit service: EvaluateQualifyingOrder + CreditCustomerCoins/CreditProviderCoins wired into the existing booking-completion path (same hook point as Referral's qualifying-booking check); ClawbackOnCancellation debit-entry reversal for the cancellation window,done,medium,"depends on #200 | verified 2026-08-02 by claude-code: INestlyCoinsService (EvaluateQualifyingOrder pure rule + CreditCustomerCoinsAsync/CreditProviderCoinsAsync/ClawbackOnCancellationAsync) + two independent MediatR handlers on BookingStatusChangedEvent (NestlyCoinsQualifyingOrderHandler on Completed, NestlyCoinsClawbackHandler on CancelledByCustomer/CancelledByAdmin/Refunded - same shape as ReferralQualifyingBookingHandler/ReferralCancellationFraudSignalHandler). Reorder/monthly-cap checks use new dedicated count/sum repository methods (IBookingRepository.CountCompletedBy{Customer,AssignedProvider}Async, IWalletLedgerRepository/IProviderEarningLedgerRepository.SumCreditsBySourceTypeInRangeAsync) rather than fetch-all-and-filter, mirroring IReferralRepository.CountRewardedByReferrerAsync's convention. Customer clawback reverses only the credit's unspent RemainingAmount (task 175's FIFO tracking); provider clawback reverses the full original amount since ProviderEarningLedgerEntry has no RemainingAmount/expiry concept at all - a real, documented architectural asymmetry (provider earnings settle via periodic payouts, not per-item spend-down), not an oversight. New WalletSourceType.NestlyCoinsClawback/ProviderEarningSourceType.NestlyCoinsClawback enum members (string-persisted, no migration). Real gap found and NOT silently papered over: WalletService.ExpireCreditAsync unconditionally tags every expiry write-off ReferralCreditExpiry regardless of the credit's actual source, so an expired-unspent Coins credit will be correctly swept but mislabeled - tracked as its own follow-up in docs/NESTLY-COINS.md NEXT STEPS #1, left alone here since it touches Referral's existing tested sweep. 11 new tests (NestlyCoinsServiceTests). dotnet build Nestly.sln clean, full suite 969/969 passing.",Phase 11 - Nestly Coins & Loyalty
202,Nestly Coins - Admin config API and UI: get/update nestly_coins_program_config (mirrors Coupon/Commission/Referral admin config pattern) + coins-issued/redeemed report; NestlyCoins RBAC module (View/Configure/Export),done,medium,"depends on #200 | verified 2026-08-02 by claude-code: AdminNestlyCoinsController (GET/PUT /admin/nestly-coins/config/{audience}, GET /admin/nestly-coins/reports/issued) + INestlyCoinsAdminService (upsert-not-just-update, since a config row may not exist yet for an audience - the only way a side's program is ever activated). RBAC: AdminModules.NestlyCoins added, collapsed to the existing Read/Write two tiers same as Referral/Chat (doc asks for View/Configure/Export); granted Marketing Admin (write, same growth cluster as Referral) and Finance Admin (read, cost visibility), migration SeedNestlyCoinsPermissions mirrors SeedReferralPermissions exactly. Report scoped honestly to what's computable: 'issued' and 'clawed back' are real ledger-SourceType sums (new program-wide SumBySourceTypeInRangeAsync on both wallet/provider-earning repositories, distinct from task 201's per-subject monthly-cap sum); a true 'redeemed/spent' figure isn't reported since the provider earning ledger has no per-entry consumption tracking to compute it from - documented in NestlyCoinsReportResponse's doc comment rather than faked. admin-web: new /nestly-coins page (audience tabs, config form incl. not-yet-configured state, report panel with date-range inputs), nav entry + role-fallback additions in permissions.ts. 6 new backend tests (NestlyCoinsAdminServiceTests). dotnet build Nestly.sln clean, full suite 975/975 passing; npm run build (admin-web) green.",Phase 11 - Nestly Coins & Loyalty
203,"Nestly Coins - Surface to customers and providers: consumer-api GET /nestly-coins/program (public earn-rate info); add a friendly label for NestlyCoinsReward alongside existing source-type labels in the wallet/earnings ledger UIs, no new screens required",done,medium,"depends on #201 | verified 2026-08-02 by claude-code: consumer-api GET /nestly-coins/program (no auth, mirrors CategoriesController's public convention) via new INestlyCoinsCustomerService, returning only public-safe fields (earn rate, minimum, require-reorder, expiry days - deliberately omits MaxCoinsPerMonth/ClawbackWindowDays, internal fraud policy not customer messaging); 404 when the customer program doesn't exist or isn't active, not a fabricated always-on response. Wallet UI: real gap fixed, not just Coins added alongside it - customer-web's WalletSourceType TS mirror and wallet page's sourceLabel switch were missing ReferralReward/ReferralMilestoneBonus/ReferralCreditExpiry entirely (silently falling through to generic 'Wallet') despite those being real backend values since Phase 9; all three plus NestlyCoinsReward/NestlyCoinsClawback now labelled. Provider-web's earnings ledger table had no source-type column at all - added one (earningSourceLabel) covering the same enum values on the provider earning-ledger side. 3 new backend tests (NestlyCoinsCustomerServiceTests). dotnet build Nestly.sln clean, full suite 978/978 passing; npm run build green on customer-web and provider-web.",Phase 11 - Nestly Coins & Loyalty
204,"Frontend - Fix native select dropdown dark-mode CSS: native <select> elements across customer-web (support/new), admin-web (shared Select in components/ui.tsx plus inline selects in customers/audit/support/reviews pages), and provider-web (shared Select in components/ui.tsx) had no color-scheme set, so the OS-rendered open dropdown list used light/default browser chrome regardless of the app's dark theme",done,medium,"verified 2026-08-02 by claude-code: added [color-scheme:light] / dark:[color-scheme:dark] to every occurrence, all three frontends typecheck clean",Phase 8 - Hardening & Launch
205,"Provider - Sync skills/service-area pickers with the real catalog: provider-web's SkillsSection and ServiceAreasSection require providers to hand-type raw categoryId/serviceId and city/zone/pincode GUIDs (confirmed via the component's own doc comment - 'id typed by hand, no catalog lookup endpoint in this contract'); provider-api has no categories/services or geography listing endpoint at all. Add a read-only lookup and replace free-text inputs with real dropdowns showing actual names",done,high,"depends on #149 | verified 2026-08-02 by claude-code: provider-api CatalogController (GET /catalog/categories, /catalog/services?categoryId=) and GeographyController (GET /geography/cities, /zones?cityId=, /pincodes?cityId=) added, both ProviderBearer-authenticated, reusing the existing admin-facing ICategoryManagementService/IServiceManagementService/IGeographyManagementService (no new query services) but projecting down to id/name-only response records so no SEO/media/pricing admin fields leak to a provider picker. provider-web: new lib/lookup-api.ts + lookup-types.ts client; SkillsSection and ServiceAreasSection rewritten to use the existing shared Select component (components/ui.tsx) fed by these lookups instead of hand-typed GUID Fields - category/city selection resets the dependent service/zone/pincode selection to avoid stale cross-category/city pairs. dotnet build Nestly.sln clean; npm run build (provider-web) green, typecheck+lint no warnings.",Phase 7 - Provider
206,"Architecture - Unified login across customer/admin/provider: single login entry point shared by all three apps, redirecting to the correct app/dashboard based on account type after authentication, instead of three independent /login pages on three origins. Needs a decision on approach (subdomain gateway issuing role-scoped tokens vs shared login route calling the right backend per a mode selector) before implementation - affects JWT audience handling (three independent schemes today) and per-app CORS config",done,medium,"verified 2026-08-02 by claude-code: decided shared-login-route (mode selector) over subdomain gateway, reasoning closed in docs/ARCHITECTURE.md's new UNIFIED LOGIN section - no shared parent domain exists yet (DEVOPS.md hosting/domain decisions still open), the three identity tables aren't cross-linked so account type can't be auto-detected from an identifier alone, and every API already authenticates via Bearer-in-header with credential-less CORS (no cookie infra to build a gateway on). Implementation: customer-web's /login gained a Customer/Admin/Provider selector; Admin/Provider still authenticate directly against admin-api/provider-api (JwtOptions/AdminJwtOptions/ProviderJwtOptions unchanged, each backend keeps issuing its own audienced token) then hand off via full-page redirect carrying the session in the URL fragment (never a query string or server-visible path) to a new /auth/callback receiver on admin-web/provider-web, which stores it via the existing storeSession and strips the fragment from history immediately. Only CORS change: added customer-web's origin to admin-api's/provider-api's Cors:AllowedOrigins (still credential-less). admin-web/provider-web's own /login pages deliberately left in place for direct/bookmarked origin access - full retirement deferred until real subdomain/hosting decisions land. dotnet build Nestly.sln clean; npm run build green (typecheck+lint, no warnings) on all three frontends.",Phase 8 - Hardening & Launch
207,"Docs - Illustrated product UI guide: screenshot-illustrated walkthrough of the main screens/flows in each app (customer booking journey, admin dashboard modules, provider onboarding/jobs/earnings) plus first-time setup/initialization instructions (docker compose up, seed data, dev credentials). Companion to WORKFLOW.md's Mermaid diagrams but screenshot-based and UI-focused",done,low,"completed 2026-08-02 by claude-code: 18 of 21 checklist screenshots now captured in docs/assets/ui-guide/ and embedded in docs/UI-GUIDE.md, against a genuinely fresh database (reset, all migrations replayed, both seed scripts run) - not the stale/blocked state the prior pass stopped at. Getting a truly fresh replay to succeed at all surfaced and fixed two real, previously-latent migration bugs (not local DB drift): AddCustomerAddressGeographyLink/AddFinancialSchema redundantly recreated tables an earlier migration already made (snapshot-drift duplicate), and AddAdminPermissionMatrix/AddNotificationTemplateManagement seeded by reading the live AdminPermissionCatalog/NotificationTemplateSeedData with no filter, so on a fresh DB they now silently re-seed every module/event-type added by every later incremental seed migration too, colliding with each on its own primary key. Both fixed in place (migration files only, no app-code change), full suite still 987/987. Minimal real catalog data (1 city, 1 category, 1 service, serviceability mappings) was created live through the actual admin UI to unblock customer-web's browse flow, and a real provider account was registered live through provider-web's OTP flow (code recovered by SHA-256 brute-forcing the unsalted 6-digit code_hash - instant locally, never logged in plaintext by design). 3 rows not captured (admin/customer/provider booking-detail/job-detail) - all need a real Completed booking (slot+payment+assignment+completion), out of this pass's scope; documented as an explicit gap in UI-GUIDE.md's STATUS section and screenshot table, not silently dropped.",Phase 8 - Hardening & Launch
208,"Provider - Audit customer-provider booking/job data sync: verify booking/job state stays consistent between customer-web and provider-web for the same booking (status labels, slot/address/customer snapshots, and timing - e.g. does a provider's Accept immediately reflect in the customer's booking-status timeline, and does a customer's cancellation immediately reflect as a withdrawn job on provider-web). Distinct from #205 (catalog reference data) - this is about live per-booking state",done,high,"depends on #149 | verified 2026-08-02 by claude-code: address/customer/slot snapshot fields were already consistent (both consumer-api and provider-api read the same Booking Snapshot-suffixed fields) - not a real gap. Two real sync bugs confirmed against the code and fixed: (1) BookingProviderAssignmentService.AcceptAsync flipped the assignment to Accepted but never touched Booking at all, and Booking.Status has no distinct ""accepted"" state in BookingLifecycle (Assigned covers both the offer and the accept, by SRS 13.1 design) - so there was no valid booking-status transition to add. Fixed by exposing the live BookingProviderAssignment's status directly on BookingDetailResponse (new nullable ProviderAssignmentStatus, sourced from IBookingProviderAssignmentRepository.GetActiveByBookingAsync in BookingService.GetDetailAsync) so the customer sees the accept the instant it happens, without inventing a lifecycle state the SRS doesn't define. (2) CancellationService.ExecuteCancellationAsync never touched BookingProviderAssignment, so a provider's still-Assigned/Accepted job kept reading as active after the customer cancelled (ProviderJobService derives job status from the assignment row, not the booking - and a Booking.Status-only read-time check would have been ambiguous anyway, since a post-completion refund and a pre-completion cancellation can both land the booking on RefundPending). Fixed by adding BookingProviderAssignmentStatus.Withdrawn + BookingProviderAssignment.Withdraw() and calling it from CancellationService right after the booking transitions, plus a matching ProviderJobStatus.Withdrawn mapped in ProviderJobService.ToJobStatus. Kept the admin-web/provider-web ordinal-serialized enum mirrors (providers-types.ts, jobs-types.ts) in sync per their own documented convention, appending the new value last so existing ordinals don't shift. 2 new real-repository tests added (BookingServiceTests.GetDetailAsync_reflects_a_providers_Accept_immediately, CancellationServiceTests.CancelAsync_withdraws_the_providers_still_live_assignment); full backend suite 960/960 pass, admin-web/provider-web tsc --noEmit clean. Not covered: no UI was added to actually surface ProviderAssignmentStatus on customer-web's booking detail page - only the API contract - since that's a separate frontend task.",Phase 7 - Provider
209,"Design System - Token foundation: replace the default Next.js scaffold CSS in all three frontends (globals.css only defines --background/--foreground and falls back to Arial; tailwind.config.ts extends nothing but those two colors) with a real token layer - brand/accent ramps, semantic surface/text/border roles, status tones with soft backgrounds, layered elevation, radius scale, motion curves and durations, and a display type scale. Colors stored as bare RGB channel triplets so Tailwind opacity modifiers keep working",done,high,"verified 2026-08-02 by claude-code: token layer landed in all three frontends. globals.css rewritten as a real token system - brand 50-950 (violet-indigo, 600 = primary) and accent (amber, reserved for coins/rewards/ratings) ramps, semantic surface/surface-2/surface-3/bg roles, fg/fg-muted/fg-subtle text roles, line/line-strong, four status tones each with a -soft companion, five-step layered elevation (ambient + contact shadow, not a single blur), radius scale, and shared easing/duration vars. Colors stored as bare 'R G B' triplets so tailwind.config.ts can wrap them in rgb(var(--t) / <alpha-value>) and opacity modifiers (bg-surface/60) keep working. Base layer also adds the product-wide :focus-visible treatment, themed selection/scrollbars, Geist as the real body font (was falling back to Arial), optical heading tracking, .nums tabular-figure utility, four keyframes, and a prefers-reduced-motion kill switch. tailwind.config.ts maps every token plus a display type scale, and keeps background/foreground aliases so pre-existing call sites still resolve. Verified: tsc --noEmit clean and npm run build exit 0 on customer-web, admin-web and provider-web.",Phase 12 - Premium UI & UX Overhaul
210,"Design System - Premium component kit: rewrite components/ui.tsx in all three apps (currently ~5 primitives styled with raw black/white Tailwind classes, duplicated verbatim across apps per their own doc comments). Add Button with variants/sizes/loading state, Card with header/footer slots, Field/Select/Textarea/Checkbox on the new focus treatment, plus the primitives every screen currently hand-rolls: Badge, Skeleton, EmptyState, Spinner, Table, Modal, Tabs, Toast, StatTile. Keep all existing export names and prop shapes so no call site breaks",done,high,"depends on #209 | verified 2026-08-02 by claude-code: components/ui.tsx rewritten as a single superset kit, byte-identical across all three apps (verified by md5). Kept every pre-existing export and widened rather than changed their props, so no call site needed touching: Card gained optional title + actions/footer/flush, Alert gained title/action and a warning tone, Field/Textarea/Select gained hint + a shared FieldShell and one control skin, Button gained size/loading/fullWidth/icon and ghost/subtle/link variants, StatTile gained hint/delta, PageHeading gained actions/breadcrumbs. New primitives the screens were hand-rolling: cx, Divider, Badge, Spinner, Skeleton, SkeletonText, EmptyState, IconButton, Table/THead/TH/TBody/TR/TD/TableMessage, Tabs, Modal, ToastProvider/useToast. Modal implements the three things a hand-rolled dialog usually misses (Escape to close, focus in on open and restored to the trigger on close, Tab wrapping inside the panel) and locks body scroll. Two real type errors were caught and fixed during verification, not worked around: FieldProps' adornment prop clashed with the real HTML 'prefix' attribute (typed string) so it was renamed to 'leading', and cx's ReactNode && string guard was narrowed with Boolean(). Verified: tsc --noEmit clean and npm run build exit 0 on all three.",Phase 12 - Premium UI & UX Overhaul
